competence_ru,order_original,orientation,question_ru,q,q_order,C1,c1,C2,c2,c3
самооценка,114,прошлое,между сессиями я анализировал(а) качество терапевтического альянса,q_33,33,профессионализм,4,профессионализм-2,10,39
самооценка,123,прошлое,"на сессиях я действовал(а) интуитивно, не вдаваясь в детальный анализ своей работы",q_43,43,профессионализм,4,профессионализм-2,10,39
самооценка,16,прошлое,"я анализировал(а) проведенные мною сессии, чтобы выявить свои зоны развития",q_57,57,профессионализм,4,профессионализм-2,10,39
самооценка,110,прошлое,я не анализировал(а) случай клиента между сессиями,q_107,107,профессионализм,4,профессионализм-2,10,39
самооценка,105,прошлое,"я проводил(а) самостоятельный анализ сессий, чтобы лучше разобраться в случае клиента",q_190,190,профессионализм,4,профессионализм-2,10,39
саморегуляция,101,настоящее,"если я испытываю негативные чувства по отношению к клиенту, я жду, когда они сами собой пройдут",q_16,16,процесс терапии,1,мета-компетенции,1,2
саморегуляция,88,настоящее,"негативные чувства и мысли, связанные с клиентом, не влияют на мою работу",q_44,44,процесс терапии,1,мета-компетенции,1,2
саморегуляция,25,настоящее,"я выбираю и выражаю только те эмоции, которые считаю полезными для хода терапии",q_61,61,процесс терапии,1,мета-компетенции,1,2
саморегуляция,36,настоящее,"я использую приемы саморегуляции, чтобы мои эмоции не мешали работе",q_99,99,процесс терапии,1,мета-компетенции,1,2
саморегуляция,94,настоящее,"я не анализирую эмоции, возникающие у меня во время сессии",q_108,108,процесс терапии,1,мета-компетенции,1,2
саморегуляция,75,настоящее,"я отделяю чувства, которые переживаю в связи с процессом сессии, от своих личных переживаний",q_169,169,процесс терапии,1,мета-компетенции,1,2
сопротивление,59,настоящее,"если клиент не хочет работать с какой-то темой, то я соглашаюсь и не затрагиваю ее",q_11,11,отношения,2,отношения-2,6,21
сопротивление,55,настоящее,"если клиент пытается манипулировать мной, я замечаю и сообщаю ему об этом",q_14,14,отношения,2,отношения-2,6,21
сопротивление,66,настоящее,"если я подозреваю у клиента наличие сопротивления, я задаю вопрос об этом",q_17,17,отношения,2,отношения-2,6,21
сопротивление,45,настоящее,"когда клиент отказывается работать с какой-то техникой, я обсуждаю с ним возможность альтернативных вариантов",q_28,28,отношения,2,отношения-2,6,21
сопротивление,71,настоящее,я останавливаю попытки манипуляций со стороны клиента,q_168,168,отношения,2,отношения-2,6,21
стимуляция,42,прошлое,"если клиент сам не рассказывал подробно о чем-то, я не просил(а) клиента рассказать больше",q_15,15,работа с изменениями,3,работа с изменениями,8,32
стимуляция,124,прошлое,"когда клиент дистанцировался и избегал говорить о чем-то, я старался(лась) вовлечь его в обсуждение",q_23,23,работа с изменениями,3,работа с изменениями,8,32
стимуляция,76,прошлое,"я использовал(а) фразы «расскажите больше о…», «а что еще…?»",q_96,96,работа с изменениями,3,работа с изменениями,8,32
стимуляция,68,прошлое,я просил(а) клиента на сессии усилить невербальные проявления чувств и переживаний,q_194,194,работа с изменениями,3,работа с изменениями,8,32
стимуляция,126,прошлое,"я просил(а) клиента подробнее рассказать о чувствах, которые он испытывает",q_195,195,работа с изменениями,3,работа с изменениями,8,32
супервизия - личная терапия - интервизия,40,настоящее,я не ощущаю потребности в личной терапии,q_127,127,профессионализм,4,профессионализм-2,10,37
супервизия - личная терапия - интервизия,93,настоящее,я не прибегаю к супервизиям/интервизиям в своей работе,q_133,133,профессионализм,4,профессионализм-2,10,37
супервизия - личная терапия - интервизия,54,настоящее,я обращаюсь к интервизии и/или супервизии для рефлексии работы с клиентами,q_152,152,профессионализм,4,профессионализм-2,10,37
супервизия - личная терапия - интервизия,79,настоящее,"я обращаюсь к своим коллегам, чтобы обсудить возникающие в процессе консультирования проблемы (например, этические, эмоциональные и пр.)",q_153,153,профессионализм,4,профессионализм-2,10,37
супервизия - личная терапия - интервизия,35,настоящее,"я осваиваю новые подходы самостоятельно, не прибегая к обучению у других специалистов",q_166,166,профессионализм,4,профессионализм-2,10,37
супервизия - личная терапия - интервизия,50,настоящее,я прохожу личную терапию для проработки собственных проблем и запросов,q_197,197,профессионализм,4,профессионализм-2,10,37
уместное самораскрытие,76,настоящее,"когда клиент задает вопросы обо мне, я избегаю ответа на них",q_24,24,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,62,настоящее,"когда клиент задает вопросы обо мне, я отвечаю максимально подробно",q_25,25,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,21,настоящее,"я делюсь своим опытом с клиентом, чтобы показать альтернативный способ мышления или действий",q_69,69,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,34,настоящее,"я ничего не рассказываю клиенту о себе, на терапии мы говорим о клиенте",q_148,148,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,58,настоящее,"я нормализую переживания клиента, раскрывая перед ним свой опыт",q_149,149,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,15,настоящее,"я раскрываю перед клиентом личный опыт, когда понимаю, что у нас крепкий терапевтический альянс",q_199,199,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,74,настоящее,"я рассказываю клиенту о личном опыте применения упражнений и техник (например, практик внимательности), которые использую в терапии",q_202,202,работа с изменениями,3,работа с изменениями,8,31
уместное самораскрытие,32,настоящее,"я спрашиваю разрешения у клиента, прежде чем рассказать о личном опыте",q_213,213,работа с изменениями,3,работа с изменениями,8,31
челендж (работа с затруднениями),49,прошлое,"когда я наблюдал(а) у клиента какой-то дисфункциональный процесс/убеждение или внутреннее противоречие, я прямо указывал(а) на это",q_30,30,работа с изменениями,3,работа с изменениями,8,25
челендж (работа с затруднениями),89,прошлое,"я ждал(а), когда клиент сам обнаружит свои внутренние противоречия и затруднения",q_73,73,работа с изменениями,3,работа с изменениями,8,25
челендж (работа с затруднениями),112,прошлое,"я использовал(а) техники, помогающие клиенту преодолеть его дисфункциональные процессы и паттерны поведения",q_95,95,работа с изменениями,3,работа с изменениями,8,25
челендж (работа с затруднениями),91,прошлое,"я не указывал(а) клиенту на его дисфункциональные процессы, убеждения или внутренние противоречия, чтобы не нарушить наши отношения",q_146,146,работа с изменениями,3,работа с изменениями,8,25
челендж (работа с затруднениями),96,прошлое,"я обсуждал(а) с клиентом его затруднения, и мы вместе размышляли над тем, как их преодолеть",q_154,154,работа с изменениями,3,работа с изменениями,8,25
эмпатия,23,прошлое,"когда я слушал(а) клиента, представлял(а), что бы я чувствовал(а), если бы эти события произошли в моей жизни",q_31,31,отношения,2,отношения-1,5,14
эмпатия,106,прошлое,"я называл(а) чувства, переживаемые клиентом",q_104,104,отношения,2,отношения-1,5,14
эмпатия,6,прошлое,"я не называл(а) чувства клиента, он сам должен осознавать и называть их",q_117,117,отношения,2,отношения-1,5,14
эмпатия,3,прошлое,"я не отзеркаливал(а) чувства клиента, чтобы не вовлечься в его переживания и быть в состоянии помочь ему",q_123,123,отношения,2,отношения-1,5,14
эмпатия,29,прошлое,"я уделял(а) больше внимания решению проблем клиента, а не разговорам о его чувствах",q_220,220,отношения,2,отношения-1,5,14
эмпатия,125,прошлое,я часто испытывал(а) теплые чувства и заботу по отношению к клиенту,q_229,229,отношения,2,отношения-1,5,14
